市区町村,15以上65歳未満人口比率,15歳未満人口比率,15歳未満人口（男）比率,1人1日当たりの排出量,1人当たりの労働生産性（第1次産業）,1人当たりの労働生産性（第2次産業）,1人当たりの労働生産性（第3次産業）,65歳以上の世帯員のいる世帯数割合,65歳以上人口比率,ゴミ処理直後資源化率,リサイクル率,一人当たりの労働生産性（サービス業）,一人当たりの労働生産性（不動産業、物品賃貸業）,一人当たりの労働生産性（医療、福祉）,一人当たりの労働生産性（卸売業、小売業）,一人当たりの労働生産性（学術研究、専門・技術サービス業）,一人当たりの労働生産性（宿泊業、飲食サービス業）,一人当たりの労働生産性（建設業）,一人当たりの労働生産性（教育、学習支援業）,一人当たりの労働生産性（製造業）,一人当たりの労働生産性（複合サービス業）,一人当たりの労働生産性（農業漁業）,一人当たりの労働生産性（金融業、保険業）,一人当たりの労働生産性（電気・ガス・熱供給・水道業）,一般世帯人員数（一般世帯当たり）,中学校生徒数（中学校教員当たり）,人口一人当たりの市内総生産,保健所数密度,公債費割合（歳出比）,労働力人口割合（男）（総人口比）,労働力人口割合（総人口比）,労働費割合（歳出比）,医師数（10万人当たり）,合計特殊出生率,商業・近隣商業地域面積割合,商業地域面積割合,図書館数密度,国民健康保険被保険者割合,地方債割合（歳入比）,地方債現在高（歳入比）,地方債現在高（歳出比）,売上金額（民営）の建築業の割合,売上金額（民営）の情報通信料の割合,売上金額（民営）の教育、学習支援業の割合,売上金額（民営）の生活関連サービス業、娯楽業の割合,売上金額（民営）の複合サービス業の割合,売上金額（民営）の農林漁業の割合,売上金額（民営）の運輸業、郵便行の割合,売上金額（民営）の電気・ガス・熱供給・水道業の割合,外国人人口比率,子ども向け施設数割合（児童福祉、母子・父子福祉、婦人保護施設）,子供施設数（10万人当たり）,実質公債費比率,実質収支比率,将来負担比率,小学高児童数（小学校教員当たり）,工業・準工業地域面積割合,工業地域面積割合,工業専用地域面積割合,平均寿命（女）,平均寿命（男）,投資的経費割合（歳出比）,持ち家一般世帯比率,昼夜間人口比率,最終学歴人口割合（小・中学校）,最終学歴人口割合（高専・短大・大学・大学院）,死亡率,母子世帯割合（世帯比）,水洗化率,準工業地域面積割合,災害復旧費割合（歳出比）,病院数密度,病院病床数（病院数当たり）,県内他市区町村への通勤・通学者比率,第1次産業の売上割合,納税対象者割合,経常収支比率,総人口（日本人）比率,総面積における道路面積比率,耕地面積割合,自市区町村内通勤・通学者比率,薬剤師数（10万人当たり）,薬剤師数（医療施設数当たり）,衛生費割合（歳出比）,転入超過率,農林水産業費割合（歳出比）,近隣商業地域面積割合,障害者支援施設等数密度,雇用者数比率（正規）,雇用者数比（女）（正規）,非水洗化人口比率,高齢者向け施設数割合（介護老人福祉施設、老人ホーム）,高齢者用施設数（65歳以上）
札幌市,0.779361416,0.454209902,0.457671702,0.536387742,0.606256845,0.545078567,0.802764204,0.314678493,0.312838371,0.333087875,0.636345818,0.628321855,0.729154386,0.742508321,0.870615418,0.651605098,0.540959545,0.8079198,0.686622522,0.427425274,0.59055039,0.35224773,0.679969695,0.879061144,0.233503333,0.723444417,0.663093533,0.783889,0.466207652,0.287708214,0.329657854,0.381203837,0.900535529,0.138999516,0.939959871,0.935078129,0.452981427,0.300642466,0.495657243,0.649203918,0.624039232,0.428002244,0.894244334,0.684338411,0.52450281,0.365661915,0.353966716,0.488399405,0.5,0.391158919,0.640849839,0.381165242,0.356377952,0.215349183,0.602886355,0.776723852,0.767907182,0.540210902,0.51463742,0.58418213,0.529257753,0.359109328,0.093432705,0.602746284,0.258543581,0.751336814,0.310623496,0.622092043,0.237279864,0.928427996,0.363938258,0.947123764,0.597228552,0.615779393,0.353966716,0.608799403,0.65997455,0.608841081,0.660339549,0.30462536,0.327778133,0.405426522,0.4028958,0.271729336,0.749016374,0.256098753,0.939120734,0.947062869,0.364442429,0.403146353,0.308836601,0.527355127,0.337225023
函館市,0.548071179,0.359221227,0.502183116,0.775625399,0.672684424,0.405011193,0.615066842,0.532758885,0.517866007,0.333087875,0.398522568,0.677892793,0.567529439,0.680668459,0.580795544,0.531630914,0.623769398,0.408635832,0.635600332,0.444223912,0.618421933,0.382263613,0.643546292,0.879061144,0.231929229,0.557186974,0.543044646,0.492319728,0.594809249,0.251311272,0.327593253,0.443503672,0.811819733,0.23353481,0.939959871,0.935078129,0.358437774,0.408214897,0.507977451,0.604499083,0.588332721,0.459666242,0.894244334,0.667724349,0.691349275,0.439999092,0.365069778,0.554988694,0.5,0.335368599,0.507044432,0.467405961,0.486565436,0.338866466,0.627034193,0.607891117,0.916307544,0.806737875,0.602258934,0.022645391,0.091692458,0.36943604,0.202901124,0.654826139,0.419682593,0.423942482,0.534484189,0.868313091,0.253385521,0.928427996,0.363938258,0.941975104,0.662221214,0.205620294,0.365069778,0.506482954,0.525315761,0.664631401,0.392997154,0.310748124,0.683372819,0.483179506,0.476327069,0.372296897,0.519544032,0.282939977,0.939120734,0.757531431,0.392578144,0.437235878,0.480113665,0.367085142,0.432309129
小樽市,0.409822178,0.27118708,0.401265836,0.767375825,0.626770133,0.353850022,0.621696188,0.714072939,0.648333195,0.333087875,0.449625084,0.950800909,0.599998444,0.648199308,0.508160092,0.64410059,0.716232958,0.531899713,0.726249181,0.355120253,0.542195687,0.371019147,0.539178493,0.879061144,0.259775716,0.495015972,0.52924422,0.608261801,0.502077723,0.187710399,0.253388472,0.467871618,0.741892189,0.16121935,0.77976048,0.741502879,0.384104538,0.369699376,0.481081481,0.500820958,0.493491935,0.352480322,0.598593829,0.763868862,0.766349191,0.417061811,0.363659556,0.841011444,0.5,0.352023715,0.513406913,0.388623264,0.621402472,0.472676856,0.636254276,0.501657804,0.946963983,0.914371828,0.893542719,0.268317715,0.271866403,0.21916475,0.360747166,0.635296193,0.461832097,0.487792083,0.617569127,0.80781838,0.243582078,0.928427996,0.363938258,0.869977258,0.6307359,0.305705767,0.363659556,0.466138747,0.712001809,0.647976285,0.451862965,0.278350586,0.601844563,0.494151254,0.481116429,0.548229697,0.397158782,0.267750486,0.820550804,0.769730532,0.28905807,0.408189231,0.352167169,0.483223249,0.430541423
旭川市,0.516144146,0.42249047,0.446535241,0.552886891,0.490529293,0.461651993,0.604778283,0.504937139,0.491652925,0.425258461,0.557726561,0.540283189,0.605477821,0.571030809,0.682392536,0.553201846,0.553985227,0.678225529,0.730843858,0.397478115,0.519985261,0.375974868,0.596059268,0.879061144,0.253880522,0.617451462,0.531965862,0.497646031,0.581953301,0.284293964,0.346676267,0.447561923,0.984588379,0.364833829,0.576679003,0.652304129,0.394123616,0.364847502,0.456275948,0.679534752,0.65408682,0.499596841,0.894244334,0.932505714,0.677762146,0.426824077,0.399929297,0.558381743,0.5,0.299092298,0.262557473,0.394179163,0.458668118,0.230788844,0.734601832,0.546561995,0.614669279,0.571642971,0.690577995,0.549086084,0.452040348,0.340670784,0.245040766,0.607086272,0.445816848,0.460902122,0.43104412,0.835416441,0.265989948,0.682717679,0.363979165,0.631663007,0.603519194,0.194950397,0.399929297,0.509878702,0.681397539,0.700907702,0.544369143,0.552419236,0.724233884,0.501251957,0.498533394,0.373738205,0.586855919,0.315597514,0.534690354,0.505666098,0.406632144,0.417482527,0.331480793,0.180039273,0.401266934
室蘭市,0.4768347,0.373723962,0.387419512,0.817904468,0.247770317,0.567101458,0.601800896,0.573433992,0.564092397,0.333846762,0.52824434,0.585107734,0.605557698,0.712480197,0.553117138,0.620166637,0.471542533,0.566171831,0.628901535,0.598618835,0.156576289,0.342173302,0.535459123,0.879061144,0.179762302,0.59620954,0.677610773,0.609552786,0.507196066,0.379555632,0.231912587,0.53783905,0.82895762,0.432907321,0.939959871,0.935078129,0.442704033,0.304158018,0.53445541,0.663176562,0.646429026,0.397717325,0.894244334,0.549746567,0.399703819,0.364870922,0.349036169,0.584031268,0.5,0.351186849,0.675190685,0.346758034,0.570257389,0.313133699,0.616936006,0.537613521,0.946963983,0.914371828,0.893542719,0.268317715,0.323344673,0.432240702,0.19800483,0.798045739,0.53451082,0.4262552,0.54330436,0.629392011,0.260387981,0.928427996,0.366455437,0.768322014,0.831940689,0.242404906,0.349036169,0.515788222,0.702820528,0.648813151,0.717576069,0.308984908,0.659066874,0.538428537,0.55387377,0.63429791,0.433874357,0.280211849,0.939120734,0.599693917,0.538792627,0.404711444,0.350336081,0.585400504,0.361046243
釧路市,0.590501027,0.435721035,0.399434951,0.768407022,0.686167977,0.521225892,0.612352003,0.479846732,0.462040843,0.333087875,0.486969231,0.52432069,0.554408996,0.608779033,0.610543869,0.549295635,0.519092236,0.584312701,0.656026689,0.550511209,0.464105056,0.436492,0.693048468,0.879061144,0.233397422,0.547157356,0.540942059,0.381658745,0.664911437,0.250613963,0.242939674,0.462540961,0.614703259,0.294134357,0.518651861,0.503711609,0.353126527,0.352326654,0.61640618,0.792742247,0.776389525,0.426881749,0.894244334,0.51465061,0.53033375,0.376294252,0.403610198,0.678078227,0.5,0.322887898,0.546426562,0.435084486,0.667898002,0.354306127,0.857975328,0.562582709,0.616852001,0.908303715,0.893542719,0.163029576,0.168909863,0.415864946,0.195084115,0.607086272,0.491726393,0.342062658,0.449377878,0.84028113,0.238680356,0.498269232,0.399303881,0.486987663,0.648503785,0.206894766,0.403610198,0.531920701,0.675276685,0.677112102,0.357190221,0.385645253,0.661995798,0.457502444,0.472947796,0.287720872,0.464470669,0.322218433,0.54412947,0.418943223,0.404969907,0.382223141,0.392551953,0.394434738,0.396674659
帯広市,0.70599393,0.52426405,0.537555838,0.539481333,0.783272465,0.662169983,0.60364027,0.349824625,0.35618241,0.333087875,0.624552929,0.512639135,0.538496565,0.671847812,0.594212262,0.592940796,0.691093666,0.616799073,0.684091731,0.783833872,0.862601222,0.474986622,0.584092474,0.865065637,0.26024762,0.572197709,0.645253479,0.494722004,0.54007271,0.452442555,0.500163767,0.450657103,0.801195933,0.397456586,0.462858648,0.507020286,0.330000315,0.376418698,0.426266268,0.681978679,0.658179509,0.526793739,0.894244334,0.538545168,0.727895594,0.441938991,0.426486422,0.447642903,0.5,0.343474295,0.462774284,0.377852921,0.542360072,0.271961271,0.793873796,0.559540717,0.40551159,0.428258919,0.609821277,0.478893992,0.426301213,0.285860731,0.147938187,0.678696072,0.336842982,0.464293425,0.347112368,0.900806559,0.247083308,0.412183769,0.363938258,0.457471574,0.604188732,0.279714671,0.426486422,0.643122075,0.601826436,0.656525705,0.505749572,0.838422684,0.695156984,0.547361601,0.549763056,0.342426615,0.626631124,0.471637252,0.44500665,0.459253825,0.41513903,0.381116189,0.349580962,0.499445205,0.368099367
北見市,0.593088677,0.443523676,0.42635635,0.62094588,0.550783919,0.574015555,0.610368443,0.443717019,0.45668402,0.358132003,0.479107305,0.479499178,0.643665307,0.686070287,0.591181927,0.570599992,0.596096007,0.692955218,0.718136594,0.578241602,0.627096853,0.541569605,0.56611032,0.879061144,0.252270952,0.489508382,0.564019394,0.370011689,0.550321678,0.412064093,0.437954231,0.979570286,0.58246662,0.377761733,0.423636805,0.444703793,0.433274241,0.443873077,0.859210274,0.801263224,0.773588424,0.502926815,0.894244334,0.665556122,0.661773421,0.510884949,0.494414448,0.543237236,0.5,0.317700284,0.535635331,0.426588355,0.64929979,0.230788844,0.865878256,0.477124047,0.484021553,0.564456157,0.420579719,0.549086084,0.400562078,0.61326834,0.24486846,0.591896314,0.456339005,0.423060936,0.425199312,0.726547712,0.256186505,0.467704699,0.462384324,0.420029524,0.502929881,0.191300371,0.494414448,0.573399316,0.617128571,0.682299716,0.385515326,0.523923316,0.737525358,0.614313039,0.65772145,0.503456091,0.479768826,0.388023713,0.423171099,0.371268429,0.358481097,0.37533617,0.366987368,0.336459556,0.377376957
夕張市,0.111861903,0.017558836,0.107080663,0.677661703,0.487343397,0.462001579,0.482616879,0.942449296,0.96038852,0.593715936,0.255042425,0.51813268,0.447977949,0.377405035,0.43431245,0.375133217,0.90512593,0.458179587,0.23815972,0.476890206,0.588428318,0.426525608,0.566914596,0.587782384,0.113953197,0.322286815,0.41380027,0.382414339,0.979164357,0.184879574,0.159813002,0.327137806,0.422299963,0.19747808,0.475919562,0.570094191,0.315611829,0.614921107,0.386496275,0.967379607,0.965693411,0.430101914,0.37327315,0.390357712,0.609047235,0.788206897,0.432110544,0.436119924,0.5,0.557883171,0.213415899,0.494753036,0.995691487,0.977039094,1,0.438047264,0.555337732,0.562981089,0.381277065,0.373605853,0.246127268,0.250881682,0,0.659166126,0.881445521,0.273565218,0.878760702,0.334829286,0.453655864,0.588089188,0.363938258,0.329813326,0.263709137,0.216354134,0.432110544,0.383152675,1,0.442116829,0.280990467,0.280312976,0.588309958,0.907624832,0.900772359,0.317636177,0.023883773,0.28372941,0.420952106,0.471194393,0.244018809,0.355344606,0.954925486,0.262148826,0.686040971
岩見沢市,0.526038101,0.395774905,0.484946836,0.507514232,0.4483263,0.461347237,0.439374816,0.565713189,0.524419278,0.333087875,0.563623006,0.446044648,0.265960797,0.431955616,0.488172398,0.49523581,0.477214818,0.603113641,0.6996861,0.441267966,0.516234899,0.490189495,0.520524912,0.879061144,0.345553959,0.490643324,0.401048437,0.419160093,0.484929095,0.350286011,0.371709257,0.393968022,0.639332907,0.259996612,0.413608994,0.415285415,0.350066309,0.395295895,0.52939387,0.683596794,0.662031548,0.472521925,0.771694162,0.531917487,0.663945828,0.639472954,0.508710895,0.730536866,0.5,0.277645062,0.732912533,0.511271391,0.444719459,0.292547485,0.520344657,0.525348131,0.538996014,0.716319387,0.381277065,0.373605853,0.297605538,0.430207626,0.360802181,0.522456508,0.513895773,0.492876685,0.483769489,0.671631008,0.272992408,0.475015476,0.363938258,0.39774416,0.665065459,0.365731496,0.508710895,0.481650953,0.684457966,0.722354938,0.491877061,0.90051574,0.601177182,0.375600594,0.375468782,0.417906113,0.375741364,0.452358307,0.427570343,0.386285383,0.358485358,0.369919194,0.405213111,0.567079065,0.460161455
網走市,0.678937767,0.486183769,0.554036399,0.674568113,0.720588274,0.525755432,0.482169729,0.370947883,0.38332002,0.337272297,0.433901233,0.407068578,0.501182473,0.775371977,0.407672867,0.536700804,0.486682077,0.662493313,0.721423032,0.510575797,0.591648949,0.922590775,0.514544509,0.389932661,0.232374694,0.434496781,0.530972712,0.405595907,0.85373945,0.549099229,0.524720181,0.506374627,0.561719181,0.45038019,0.40888935,0.421872384,0.340176441,0.485904886,0.598389714,0.887855311,0.85722609,0.458108428,0.509567285,0.765368591,1,0.706183137,0.903660201,0.414928105,0.5,0.407047661,0.629013207,0.400786775,0.835281909,0.205056077,1,0.375792489,0.41102108,0.447103465,0.381277065,0.478893992,0.452040348,0.501815966,0.132255982,0.633126199,0.501419406,0.448937871,0.376847964,0.635717353,0.276493638,0.410891021,0.893984402,0.390353151,0.555671669,0.200751212,0.903660201,0.666960761,0.712001809,0.592952339,0.412932903,0.724108785,0.829639813,0.762223443,0.886574965,0.379299667,0.394099151,0.430697462,0.414517059,0.395050671,0.442776654,0.347016246,0.356111108,0.535925202,0.359551613
留萌市,0.49319778,0.368211227,0.229198486,0.443580031,0.561506654,0.316474485,0.555190359,0.5611182,0.558735574,0.453486708,0.685482853,0.561022953,0.645179794,0.603919999,0.55769794,0.520392078,0.496776336,0.484566737,0.47370203,0.268527534,0.156576289,0.400647086,0.50783415,0.879061144,0.226548319,0.375493806,0.438038884,0.345031115,0.699286838,0.592251618,0.551463974,0.441019055,0.626960851,0.59773809,0.561115564,0.62466851,0.421693612,0.225882994,0.602843884,0.573024496,0.569218159,0.617987721,0.762495337,0.388857609,0.892224425,0.519361754,0.393378438,0.76020059,0.5,0.385730048,0.794029784,0.574234923,0.946871181,0.400625108,0.753920101,0.373394898,0.715531023,0.883836612,0.403648328,0.513990038,0.194648998,0.259501947,0.19197686,0.626616217,0.605031085,0.352379977,0.525642718,0.686436273,0.311505935,0.67737374,0.363938258,0.486677338,0.61391672,0.200667695,0.393378438,0.595871768,0.60794729,0.614269952,0.312468768,0.321107133,0.774549702,0.375600594,0.375468782,0.888576743,0.259475377,0.336988928,0.528178376,0.324002483,0.558640623,0.356565448,0.525687291,0.491637847,0.477152996
苫小牧市,0.689136152,0.593978953,0.489002897,0.770469415,0.427090678,0.672607849,0.690596825,0.360513052,0.339404949,0.73108064,0.693344778,0.639024821,0.76905615,0.727526063,0.619507967,0.637711842,0.500268804,0.660228747,0.626415344,0.691086831,0.525958149,0.373106676,0.551297076,0.848402185,0.282820142,0.622317999,0.697428725,0.472023373,0.435307751,0.452556348,0.337721715,0.649263735,0.592055839,0.539158527,0.588073509,0.668625886,0.343521287,0.30188958,0.757996454,0.560495935,0.542869787,0.373720365,0.699326865,0.41970427,0.460417907,0.372871639,0.355963075,0.824890021,0.5,0.317584402,0.52511388,0.31362783,0.402873482,0.338866466,0.648986772,0.664659623,0.946963983,0.914371828,0.893542719,0.268317715,0.426301213,0.446017098,0.179664759,0.598406296,0.413843526,0.386053407,0.359570508,0.817608805,0.240781094,0.928427996,0.396278132,0.508649764,0.63943792,0.226387446,0.355963075,0.603245461,0.503892772,0.682415598,0.406100909,0.300578131,0.675765593,0.458877999,0.476058829,0.397415908,0.626631124,0.273614126,0.542352933,0.525808687,0.475928094,0.294570732,0.313719878,0.539198615,0.3187735
稚内市,0.627451145,0.497548485,0.545203288,0.950413256,0.827125002,0.375890319,0.495033258,0.448064712,0.424570275,0.333087875,0.52824434,0.498862819,0.634673295,0.546201905,0.513943393,0.599697428,0.47738533,0.509444825,0.560836067,0.352796577,0.582516432,0.735316194,0.485202035,0.827550269,0.28571313,0.363302866,0.50163201,0.373127445,0.776371119,0.598780057,0.49004924,0.583710788,0.425350238,0.56693332,0.374847437,0.410629357,0.33335602,0.386265359,0.480481799,0.597303681,0.576053898,0.569547335,0.617985168,0.410945373,0.666172978,0.526958489,0.574282889,0.489039412,0.5,0.512803027,0.646329761,0.469378618,0.807384591,0.282254378,0.588397653,0.398158566,0.42886896,0.364411177,0.437805426,0,0.246127268,0.339014194,0.248578091,0.60057629,0.611912455,0.343492316,0.458678586,0.550486829,0.317808149,0.487016633,0.893984402,0.356051808,0.581353559,0.151259784,0.574282889,0.689956675,0.675276685,0.487196973,0.320958155,0.563421828,0.751472329,0.774048302,0.900772359,0.666552999,0.259475377,0.429003237,0.363853817,0.362493605,0.533273519,0.343236708,0.347469178,0.539198615,0.40954884
美唄市,0.387484671,0.220554724,0.73443422,0.452860802,0.415213868,0.471577362,0.519137215,0.730264296,0.684444163,0.333087875,0.551830117,0.38712095,0.467260957,0.606304855,0.542389154,0.198852589,0.615643292,0.448281136,0.49158281,0.480470571,0.837202751,0.466228523,0.597792067,0.389932661,0.28305416,0.367520315,0.409262439,0.447757237,0.665666589,0.278369176,0.273807311,0.979570286,0.566695,0.272621518,0.393274531,0.419740338,0.3512197,0.551145274,0.810741926,0.596327374,0.58913408,0.658302335,0.37327315,0.443486739,0.590781053,0.922075124,0.485709315,0.612427971,0.5,0.286804216,0.507044432,0.557455357,0.91432431,0.482969963,1,0.457622382,0.488835797,0.557833585,0.381277065,0.092837484,0.220388133,0.273137188,0.411396714,0.563686393,0.686773654,0.391364205,0.735881414,0.721639323,0.286297081,0.479476026,0.363938258,0.400018198,0.463696099,0.350945385,0.485709315,0.365072151,0.69057882,0.713195784,0.473994866,0.788862237,0.568781376,0.907624832,0.900772359,0.560729606,0.314548739,0.491896643,0.389039078,0.426991073,0.331825762,0.40970024,0.503742895,0.522236383,0.602265221
芦別市,0.227735343,0.135064916,0.461874155,0.529169365,0.540073009,0.644244817,0.424665123,0.834112853,0.826114453,0.333087875,0.728723444,0.383782009,0.492416,0.660178921,0.403171952,0.445946803,0.440713641,0.409746409,0.50492923,0.660337636,0.75922198,0.725145564,0.516904138,0.389932661,0.222273459,0.422805703,0.46878556,0.353275247,0.340291967,0.161494627,0.217535398,0.498931605,0.449580996,0.254037657,0.389931318,0.424522325,0.355667766,0.502282346,0.732783837,0.430060035,0.411322004,0.434647194,0.37327315,0.551631608,0.77889783,0.440583648,0.688982168,0.409615435,0.5,0.334652828,0.732912533,0.359812726,0.514462754,0.302840592,0.743821915,0.487920743,0.448594845,0.480864778,0.381277065,0.198125622,0.168909863,0.469262192,0.358826741,0.548496435,0.844391453,0.263090408,0.809560542,0.684639628,0.261788473,0.455018779,0.363938258,0.389044372,0.522371229,0.288881437,0.688982168,0.35621498,0.650793269,0.665347172,0.306900461,0.328990986,0.586360551,0.375600594,0.375468782,0.650502061,0.253356115,0.467720597,0.379706753,0.352965914,0.470572859,0.542891407,0.638683015,0.673954125,0.428761098
