,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
札幌市,51.44190732028624,38.47828496961416,67.87979938538479,18.656831203982794,45.11234805502144,46.24912674243657,39.3097134224729,34.75680363839032,48.5110314221276,68.6874324187586,63.42756997047534,59.44134968259532,66.47803185498658,39.386407989882755,43.612578336010856,43.85030058423148,63.83836150711162
函館市,46.50656295060552,40.521078643070894,43.52558019396384,31.037996095220038,45.47415469362234,43.45460669765827,42.79349470957489,36.72362578855349,41.39747377740151,52.254762183478476,54.05425752623042,53.36967364719004,58.29768633669369,48.604136018434794,40.2356932135768,57.772624110587,54.326688276936466
小樽市,52.00086937216438,39.94851449769089,50.064180101469915,42.95105680175505,50.413568389013506,48.59660391620639,49.0842794124948,43.91832131970689,56.15220303463519,59.79760731754131,52.64523636539793,55.97649388668897,60.82333693682628,48.64574224718679,41.77882459886061,54.776821124466224,60.02473770185544
旭川市,45.41592485630394,46.48671117724118,68.18292189487266,35.62325935192058,43.879631106716054,48.10767203741986,40.719806211126816,40.462030492207916,48.60107896335592,59.171508210151956,53.74456650824382,54.571019783056585,55.39764547153136,48.29510304316074,46.30364716405747,56.83611304795547,60.787757676060416
室蘭市,45.88858446531413,31.95923186475219,42.002006690252024,33.87015562972006,50.123393628114066,45.817352985420726,39.02201491260655,46.06605644845523,64.58072134147348,69.87476426200885,57.02769343158265,56.768112706980986,61.51438286262019,48.53140422904497,35.941144515411466,61.02624525977627,61.51089067918316
釧路市,45.02421909757967,46.30935424235133,30.2533154674041,32.8593561568467,42.33162382265134,47.62063947425892,46.479084979886295,40.90776142716423,58.10322144757373,56.18622233575592,55.46162482193834,49.90586279767325,54.46272906840104,45.670275328310254,49.05983831345711,56.40132299813402,56.39823060010431
帯広市,47.47396718585429,51.683294152858835,53.13227556458785,29.581325677923274,38.69893689458778,46.972587261454194,42.869968348317656,39.38560226532254,44.54340056328338,56.075219271454436,56.7336287636647,50.70462647575571,55.391240864251166,46.91954261091497,51.939490423453435,57.1408918363767,62.83873609323935
北見市,45.324829236176875,55.21477182748017,58.07608716150242,37.777712412314365,40.47003344363845,50.8245497351108,46.312901316013985,39.89721929740705,46.3522048972513,47.7835910899512,53.27047541393244,46.669921951090224,55.16313926050602,49.21312706463505,53.0266393904276,58.318458454433944,57.4803730782474
夕張市,39.752750087064854,42.7451596657701,39.31331585974763,48.89279296535627,62.438111000848316,64.2680821575206,51.57832674841144,56.38305512996242,59.90050586144575,32.737666940809376,43.188965746649764,41.77038783677852,48.75915578187707,55.325205027051325,47.11230064727875,55.15451231816464,28.074537816062595
岩見沢市,46.09567025065483,50.77837966299354,57.68917839244844,40.12443750751474,41.645534280122206,50.73467928895599,45.49674277391896,36.67199574735453,35.932156246241554,57.130861508626076,49.76372417343555,45.70003294948896,50.665844500624246,50.14507872270908,50.41118041508433,51.47232635684863,58.40624777660043
網走市,40.445393666250745,67.92003237403532,51.483228068679466,36.255640232148615,43.97728691908898,54.790777230057564,49.87299795542112,42.07224622252621,43.05295656343815,51.79529687184482,52.293772044424145,42.82966274986649,53.31740965543956,51.15755742007679,54.510590520555205,59.15333987400704,54.298233493700145
留萌市,43.41292146034228,45.87894622473132,53.80163265290424,47.10048324637828,49.281502081064446,48.80184309777294,54.96250700786097,46.992508119243944,22.241273857619223,65.53785628158828,46.79734648325423,54.77202791608524,56.29263853489489,51.79406284151017,48.63296206800811,54.2087192792596,58.52847761987099
苫小牧市,47.474820562808404,43.60875437624967,55.37224581604122,26.89578920593862,43.076373962815225,44.63246009554452,36.09624509308878,42.78659128315626,62.275388999813366,61.71164239810104,61.07340574410887,48.83016949758713,60.429385327012184,45.54128533740898,47.55891611915351,61.24008530374525,63.28051049971872
稚内市,43.677972422063974,61.64510367152375,48.670864216674154,48.14562184502299,47.051983255286274,59.650969288434176,40.25198571230175,46.00235407305179,39.36777756610188,50.408658399817874,48.045736568109405,41.7225235827639,54.98598514564268,59.75028177313055,58.760491093944346,60.491574313340344,55.54951394318793
美唄市,46.753906294860016,52.385935203946396,50.82873711777065,53.12039245420861,45.7866556742129,55.03285087135039,47.29990789324354,38.71487492251651,51.43062381824526,45.550594778061374,39.26576889599135,44.935275750592425,47.4563659773918,49.793196990522524,47.30351841096196,53.50768023980025,47.384725869204935
芦別市,47.06077486478147,55.7029629423897,47.17650259434222,51.745363228396556,56.782864660954836,51.070398665486195,48.55601591675548,41.7889003882172,44.6303713976096,45.488807288497895,46.40762964100615,49.79923374863843,49.61332585370503,61.42591333877895,45.189789520643714,57.93482132050644,59.592089817022206
江別市,48.79282627935615,51.35453791445129,58.920552392989876,37.47518028623323,36.71298482790027,46.57396848037401,39.70063345173859,43.56666878489522,41.4742360877321,66.99070856737433,54.04611935957413,41.539074482370296,48.51338172123214,43.212618262420605,50.22786638644923,43.56416876234764,68.4801958963151
赤平市,47.73004152579914,46.75703310590547,31.82156234063441,50.21000264189715,59.39094680963578,49.3154608682542,63.986839824770115,40.293231778096214,62.71924345243204,49.319230921820214,34.92367815152912,57.248538384498325,50.79086539856331,52.75569750228092,37.22987168376257,61.01306390035914,43.080199865853736
紋別市,40.80927183725469,57.38589873652623,36.632884761213866,44.52331415270605,52.235169338093534,54.24386194804619,50.06751188771531,45.50771188716581,37.42842582751798,46.89093979992237,51.74216084334503,46.13816473684139,49.53513281445862,55.73443988152822,55.010865945122966,55.63387763206333,57.676184594167545
士別市,41.1049368513816,67.25504450593566,49.819328858645584,57.80076705630848,49.652592479334196,58.87103035466921,50.869093188369874,53.06191064215272,40.022151805703146,41.994573318872675,34.73043101429872,45.183778189704505,50.225152140658345,54.06494294452215,54.74734908098995,60.17321831189435,48.96675156260446
名寄市,45.164508185827515,52.179406707775044,59.5998515571932,48.9770326167481,43.832605140657236,50.21741931067603,44.61912836326477,48.18087591232159,21.344529101030197,61.556923116662034,48.90960271541708,51.22173946316374,50.478947821763974,60.35549925031567,53.68090242304648,58.41126401971272,59.967301163651584
三笠市,49.82728640404989,50.37436416532215,34.38500106153906,57.01522556603118,59.87882622436573,54.68746843669794,48.8240909675383,51.939023292357625,64.01064911203139,44.644508013665074,33.15032730851987,48.32904644294761,48.20876831286577,56.40686584287805,43.83431632355127,49.76292127586354,53.009090476962385
根室市,39.16691072184125,60.28547687792801,39.79024756747857,53.00145384150036,50.29805362053228,52.20054551477142,50.87889031177798,49.31424844956454,45.26474994167978,32.74606863608248,50.18438611103549,40.45295346395932,45.157588669276386,56.09376664248581,55.66588532160714,65.82972386395267,48.894229238362776
