,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
札幌市,44.71682076333275,37.84896604462531,69.78965383694279,17.046249655691867,46.770689310870964,49.79484852035056,36.70832531375772,33.467275850514355,48.42377058478167,68.94202336392382,64.66189460403716,60.737653289947744,62.95216436977269,39.473752185872165,36.905440238477624,43.643757644028454,64.3370643799736
函館市,43.241949390050486,38.59100317270261,34.28957512569447,31.51488732892861,50.16910768846494,56.01346542390731,34.69407938258148,37.87332244916233,45.40962045521728,54.115676949398214,53.42108550567929,56.71252308549656,54.886568643797816,49.83863657552077,41.6760540120023,57.75434566694163,53.8859367227078
小樽市,45.26437688193037,40.62853260126366,44.210824570916174,44.23755966337131,54.975025674936695,51.80441282411976,23.604838702125246,46.75228032984606,45.7553914033927,58.48552066327476,51.75072707879194,52.725803284438065,54.100463331973934,48.46980507248552,40.404414386151686,53.07903271212129,59.58354870885759
旭川市,45.25804044963566,45.39761214965723,68.15190553733984,36.86726992752703,46.31475097966382,62.72038083045284,40.28808222403555,42.284906293918986,52.571518482045946,61.203132794489164,55.08642730563955,55.38969353813883,53.596933788156285,48.19187386064529,44.94841780447851,58.6438611818663,59.757235855080395
室蘭市,41.613015015064526,32.153739860879284,48.5692326380482,35.48495873740357,51.02479426734965,50.84379636402054,38.61370669365425,47.45933169479465,62.78075412836161,70.13773306497555,56.696679082516724,57.19087787037383,56.20553056817557,45.67341306725245,39.79999571133464,57.705732190849204,61.66653293013139
釧路市,41.8586658635615,47.089458959555074,36.16039724667869,33.884858706969155,46.340890676773896,57.961616628631496,43.03379713989128,41.47385281507637,60.286664783225596,57.36916151941237,54.70621621516509,50.654844448206696,53.14172014998776,48.88164721030813,48.10782776595691,56.79719296042306,55.258390837257
帯広市,47.60957865490389,53.10307382530554,58.525155860225006,32.14767079315607,41.04161717160114,55.19145472538655,41.408931303246966,40.09798596609857,40.6001055102528,59.357131319514025,57.74368592561885,55.17939766238295,54.909916581216066,47.5297875011243,52.8606198271545,57.35772092683435,60.40667983453212
北見市,48.51568204907309,52.94845486315888,54.65673394158077,40.97967670616938,43.511642099061184,59.11522191291616,48.5999152436515,41.40280798516132,43.3181014540312,51.2674687206218,52.306339418461874,48.84534097376708,55.25931388392088,50.93602695712411,56.1996451777067,61.18769222213096,55.38808839163993
夕張市,55.73231753788952,49.20972089018916,37.68882374035749,33.33791920391402,63.658789177138374,68.70533502359869,41.18570876378275,49.549218369998016,46.87941497567008,35.856911928306076,39.97712163894421,47.645624802988706,53.346763215625415,56.96995887370522,53.580833865207445,54.54039168552285,29.83116311572483
岩見沢市,42.92007742224617,53.34866031535923,46.91344470341785,42.834365658656644,44.30235551402292,54.3372817139615,44.11490540602709,40.23562384489443,36.92996239725343,57.59687352712739,49.53086654822703,50.65059368798792,43.28827239522683,50.35497719661402,51.90727358852805,49.967304281264,58.256419443494565
